['facebook/bart-large-mnli_TREC-perturbed-char-letter-case-changing_score'],['facebook/bart-large-mnli_TREC-perturbed-char-letter-case-changing_label']
0.9467913508415222,positive
0.9682186245918274,positive
0.8197927474975586,positive
0.9257738590240479,negative
0.9908226728439331,negative
0.9612116813659668,positive
0.9157338738441467,negative
0.699475884437561,negative
0.9923286437988281,positive
0.9951404929161072,negative
0.9533371925354004,negative
0.9543993473052979,positive
0.9073603749275208,negative
0.692054808139801,positive
0.993861973285675,positive
0.5513598918914795,positive
0.856642484664917,negative
0.9795055985450745,positive
0.9697051644325256,negative
0.9921209216117859,negative
0.9899378418922424,positive
0.9975338578224182,negative
0.9589439034461975,negative
0.9031228423118591,negative
0.9854172468185425,negative
0.6147326827049255,negative
0.9039322137832642,positive
0.9907851219177246,positive
0.8918313384056091,negative
0.9267268180847168,negative
0.9727951884269714,negative
0.9149747490882874,positive
0.9687182903289795,negative
0.9860168695449829,positive
0.8116596341133118,positive
0.7320740222930908,positive
0.9940074682235718,positive
0.9754101037979126,negative
0.9601880311965942,negative
0.9879039525985718,positive
0.9964199662208557,positive
0.9841943979263306,negative
0.972371518611908,negative
0.9343275427818298,positive
0.8189695477485657,negative
0.9949591755867004,negative
0.9221913814544678,negative
0.9386412501335144,negative
0.988434910774231,negative
0.9969285130500793,positive
0.6402628421783447,negative
0.9674463868141174,negative
0.9879669547080994,negative
0.9924767017364502,positive
0.5956630110740662,positive
0.9898845553398132,negative
0.9949163198471069,negative
0.9829342365264893,positive
0.9425503015518188,negative
0.9432687163352966,negative
0.8032765984535217,positive
0.9976091980934143,positive
0.985227644443512,positive
0.91283118724823,positive
0.9734424352645874,negative
0.6106150150299072,positive
0.9960830211639404,negative
0.9901196360588074,positive
0.9746115803718567,negative
0.8938478827476501,negative
0.7096725106239319,negative
0.9414299130439758,negative
0.9932672381401062,negative
0.8310964107513428,negative
0.957761824131012,negative
0.8390821218490601,positive
0.9449888467788696,negative
0.6457860469818115,negative
0.940880298614502,negative
0.9748721718788147,positive
0.9868651032447815,positive
0.9969860315322876,positive
0.9834253787994385,positive
0.5807928442955017,negative
0.8876163363456726,negative
0.9007242321968079,positive
0.9232733249664307,negative
0.9072988629341125,negative
0.9911534786224365,negative
0.9939613938331604,negative
0.9917994141578674,positive
0.9880577325820923,negative
0.9953653216362,negative
0.9823851585388184,negative
0.8128576278686523,positive
0.9698149561882019,negative
0.9910638928413391,positive
0.8914939165115356,positive
0.9672122597694397,positive
0.9939048290252686,negative
0.8706590533256531,negative
0.9858059287071228,negative
0.9911208748817444,positive
0.963072657585144,positive
0.550075352191925,negative
0.9294940829277039,positive
0.6863566040992737,positive
0.557187020778656,negative
0.9956603646278381,negative
0.9917399287223816,positive
0.9752684235572815,negative
0.5890559554100037,negative
0.8261497616767883,positive
0.9525496363639832,negative
0.9975507855415344,negative
0.9431222081184387,positive
0.9866756796836853,positive
0.9961124658584595,positive
0.990260660648346,positive
0.5784990191459656,negative
0.9892178177833557,negative
0.9894274473190308,positive
0.9564580917358398,negative
0.9951251149177551,negative
0.8271723389625549,negative
0.9124751687049866,negative
0.9554162621498108,positive
0.9290304183959961,positive
0.9297447204589844,negative
0.7330538630485535,negative
0.9674586653709412,positive
0.5434717535972595,negative
0.9970606565475464,negative
0.9841454029083252,positive
0.8539445996284485,positive
0.6653512120246887,negative
0.9850086569786072,positive
0.9947227239608765,negative
0.9910411834716797,positive
0.9229544401168823,positive
0.7955999374389648,negative
0.8703848123550415,negative
0.9185972809791565,positive
0.9512324333190918,negative
0.9902482032775879,negative
0.9408558011054993,positive
0.7711020112037659,negative
0.5783597230911255,positive
0.946094274520874,negative
0.9543013572692871,negative
0.9737693667411804,positive
0.9425358176231384,positive
0.8873981237411499,negative
0.9913622736930847,negative
0.9288062453269958,negative
0.9969469904899597,positive
0.9539444446563721,positive
0.7302549481391907,negative
0.9833027720451355,negative
0.7343119978904724,positive
0.9906397461891174,negative
0.988457202911377,positive
0.9784576892852783,negative
0.9891029596328735,positive
0.9319807291030884,positive
0.9855830669403076,negative
0.9750551581382751,negative
0.8726680874824524,negative
0.9814795851707458,negative
0.9739827513694763,negative
0.8883098363876343,positive
0.9732118248939514,negative
0.7410162091255188,positive
0.9975056052207947,negative
0.983168363571167,positive
0.6096444129943848,negative
0.9512230753898621,negative
0.8716961741447449,negative
0.9861038327217102,negative
0.9635201692581177,negative
0.973899245262146,negative
0.9708159565925598,positive
0.9943613409996033,negative
0.9848803877830505,negative
0.8599556088447571,negative
0.9607141017913818,negative
0.9849058389663696,positive
0.9761093854904175,positive
0.9792522192001343,positive
0.6669095158576965,negative
0.5986343622207642,negative
0.9934296011924744,positive
0.9884793162345886,negative
0.8695743680000305,negative
0.9952741861343384,positive
0.5170300006866455,negative
0.9686310291290283,negative
0.8881287574768066,positive
0.9769805669784546,positive
0.9902315735816956,positive
0.9877818822860718,positive
0.9189462661743164,positive
0.8503910303115845,negative
0.7599691152572632,negative
0.9906124472618103,positive
0.9855613708496094,positive
0.9638245701789856,negative
0.8057878017425537,negative
0.9893213510513306,negative
0.9883018136024475,positive
0.9896836876869202,positive
0.7815883159637451,positive
0.9828311204910278,positive
0.9961884021759033,positive
0.9930079579353333,positive
0.9248895049095154,negative
0.9954985976219177,positive
0.961467444896698,positive
0.9167125821113586,positive
0.9826822876930237,positive
0.6631994247436523,negative
0.9970136880874634,positive
0.5681039690971375,positive
0.9910962581634521,positive
0.9648953676223755,positive
0.9947664141654968,negative
0.9864532351493835,positive
0.994855523109436,positive
0.9954718947410583,negative
0.9892191886901855,negative
0.9795638918876648,positive
0.8649869561195374,negative
0.9517693519592285,positive
0.953289806842804,negative
0.987841784954071,negative
0.6748147010803223,negative
0.877032458782196,positive
0.9953186511993408,positive
0.987007200717926,negative
0.99721759557724,negative
0.9474860429763794,negative
0.8441766500473022,positive
0.9775815606117249,positive
0.987198531627655,positive
0.9884120225906372,positive
0.9938697218894958,negative
0.9931227564811707,positive
0.9953966736793518,negative
0.9917266368865967,negative
0.9879909753799438,positive
0.9974167943000793,negative
0.9299295544624329,positive
0.9775031208992004,negative
0.9978938698768616,negative
0.8507201671600342,positive
0.9949953556060791,positive
0.9974439144134521,negative
0.9592618346214294,negative
0.9981405735015869,negative
0.9876049160957336,negative
0.9505743980407715,negative
0.9620460867881775,positive
0.9284621477127075,negative
0.9842077493667603,positive
0.894024133682251,negative
0.9904316067695618,negative
0.5657187104225159,positive
0.969164252281189,negative
0.833180844783783,negative
0.9856318831443787,positive
0.9957898855209351,positive
0.9752558469772339,negative
0.8273814916610718,negative
0.9923861026763916,negative
0.9749749302864075,negative
0.9278640151023865,negative
0.9972180128097534,positive
0.9746136665344238,positive
0.99447101354599,negative
0.9149883389472961,positive
0.6808186769485474,negative
0.9801065921783447,positive
0.994135320186615,positive
0.9919335246086121,negative
0.9422105550765991,negative
0.9386281967163086,negative
0.9832048416137695,negative
0.9978020191192627,negative
0.977739155292511,negative
0.5231718420982361,negative
0.9937313199043274,negative
0.9607034921646118,positive
0.8024712800979614,negative
0.9959186315536499,positive
0.950727641582489,negative
0.9686468839645386,negative
0.7881125211715698,negative
0.5921280980110168,positive
0.7242434024810791,positive
0.9426164627075195,positive
0.9617652297019958,negative
0.9527214169502258,negative
0.9946977496147156,negative
0.9970614910125732,positive
0.6612118482589722,negative
0.9906813502311707,negative
0.9954777956008911,positive
0.9945367574691772,positive
0.6835253238677979,negative
0.6159553527832031,positive
0.9946261644363403,positive
0.735192596912384,negative
0.9159566760063171,negative
0.9967873692512512,negative
0.9925055503845215,positive
0.6091812252998352,negative
0.7153122425079346,positive
0.9967763423919678,negative
0.9485832452774048,negative
0.9974899888038635,negative
0.8664886951446533,positive
0.8339532017707825,negative
0.9809242486953735,negative
0.9884795546531677,negative
0.9957336783409119,positive
0.9934300780296326,positive
0.6858322024345398,positive
0.6132489442825317,positive
0.6070899963378906,positive
0.9892981052398682,negative
0.9531680941581726,negative
0.9328157305717468,positive
0.8937036991119385,negative
0.887342631816864,negative
0.9976431131362915,positive
0.9642206430435181,negative
0.9815231561660767,positive
0.9001863598823547,positive
0.9629208445549011,positive
0.9910881519317627,negative
0.9919499158859253,positive
0.9800189733505249,negative
0.9616883993148804,negative
0.9402499794960022,positive
0.9766121506690979,negative
0.8848639130592346,positive
0.9962446689605713,negative
0.9125769138336182,positive
0.9888618588447571,positive
0.994109570980072,positive
0.5226144194602966,negative
0.9768735766410828,negative
0.9828378558158875,negative
0.9948060512542725,positive
0.8706881999969482,negative
0.9200438857078552,positive
0.6611483693122864,positive
0.8121367692947388,positive
0.7478915452957153,negative
0.8877952098846436,positive
0.8628941774368286,positive
0.993147075176239,positive
0.9854077100753784,negative
0.9396498799324036,positive
0.9137219786643982,negative
0.9730339646339417,positive
0.976094126701355,negative
0.9951143860816956,positive
0.5204736590385437,positive
0.9572722911834717,positive
0.9469299912452698,positive
0.9917479157447815,negative
0.9883437156677246,negative
0.981438398361206,negative
0.8615303039550781,negative
0.8496609926223755,negative
0.9931370615959167,positive
0.7566587924957275,negative
0.9900718331336975,positive
0.9972563982009888,negative
0.974651038646698,positive
0.9864709973335266,negative
0.9299018383026123,positive
0.991814911365509,positive
0.9936268329620361,negative
0.9132788181304932,positive
0.9470670819282532,negative
0.5204901695251465,positive
0.7475975751876831,negative
0.9940851330757141,positive
0.6308716535568237,positive
0.9043024778366089,negative
0.5316096544265747,negative
0.8871592879295349,negative
0.5391935110092163,positive
0.8208157420158386,positive
0.9905184507369995,negative
0.9785950183868408,negative
0.9948180913925171,positive
0.7677596807479858,negative
0.9953522086143494,negative
0.9924826622009277,negative
0.9863998889923096,positive
0.998485803604126,negative
0.600367546081543,negative
0.8688970804214478,positive
0.9441922307014465,positive
0.9634396433830261,negative
0.9816271066665649,positive
0.8426103591918945,positive
0.9889094829559326,negative
0.6305997371673584,negative
0.9977214932441711,negative
0.985909104347229,negative
0.9963442087173462,positive
0.8442208766937256,positive
0.8744845390319824,positive
0.6547040939331055,negative
0.9865311980247498,positive
0.6314132809638977,negative
0.9858657717704773,positive
0.8371027708053589,positive
0.9885460138320923,negative
0.7163458466529846,negative
0.5798122882843018,positive
0.9662184119224548,negative
0.8849114179611206,negative
0.9566764235496521,negative
0.9889852404594421,positive
0.7846677899360657,negative
0.9886950254440308,positive
0.9956399202346802,negative
0.950574517250061,negative
0.9842219948768616,positive
0.9938486814498901,positive
0.9808194637298584,positive
0.9464610815048218,negative
0.9631881713867188,positive
0.9599833488464355,negative
0.9916115999221802,negative
0.7381118535995483,positive
0.9424933791160583,negative
0.8132809996604919,negative
0.9954531192779541,positive
0.9927976727485657,positive
0.8975619077682495,positive
0.9970840811729431,negative
0.5619285702705383,negative
0.9949402809143066,negative
0.9547090530395508,negative
0.7091389298439026,positive
0.9913216233253479,positive
0.9618684649467468,negative
0.9666731953620911,negative
0.957365095615387,negative
0.9111844301223755,negative
0.852408230304718,positive
0.8341487050056458,negative
0.5454533100128174,positive
0.9954977631568909,negative
0.987553060054779,negative
0.9608111381530762,negative
0.9278033971786499,negative
0.9798689484596252,positive
0.9950873255729675,negative
0.9860177040100098,negative
0.993668258190155,negative
0.8246451616287231,positive
0.5778315663337708,positive
0.9205069541931152,negative
0.9926119446754456,negative
0.8658083081245422,negative
0.9881013631820679,negative
0.9023004174232483,positive
0.9801483750343323,negative
0.9960850477218628,positive
0.95948326587677,negative
0.9548463225364685,positive
0.88885498046875,negative
0.996151864528656,positive
0.5465614795684814,negative
0.9562087059020996,negative
0.7085520029067993,negative
0.9932553172111511,positive
0.9969762563705444,negative
0.9050939679145813,negative
0.9968909621238708,negative
0.9281563758850098,positive
0.9881076216697693,negative
0.8896348476409912,negative
0.983337938785553,negative
0.993086040019989,negative
0.9703369736671448,negative
0.8987462520599365,negative
0.9327722191810608,negative
0.9327470660209656,negative
0.9896162748336792,negative
0.9849854111671448,negative
0.8461751341819763,positive
0.565618097782135,positive
0.981631338596344,negative
0.9984273910522461,negative
0.981201171875,negative
0.9877766966819763,positive
0.9930624961853027,positive
0.9402490854263306,negative
0.8689187169075012,negative
0.9747099876403809,negative
0.9977607727050781,negative
0.9963977932929993,negative
0.9830726981163025,negative
0.9961115717887878,negative
0.9606581330299377,positive
0.9944705367088318,positive
0.9773911833763123,negative
0.9384863376617432,positive
0.9981171488761902,negative
0.9879657030105591,positive
0.9580400586128235,positive
0.5250266194343567,positive
0.9770845174789429,negative
0.9948464632034302,positive
0.9267379641532898,negative
0.7001524567604065,positive
0.9898849725723267,negative
0.916084885597229,negative
0.9719932675361633,positive
0.9838840961456299,negative
0.8803842067718506,negative
0.9978376030921936,negative
0.6596547961235046,negative
0.939476490020752,positive
0.9566077589988708,positive
0.9751445055007935,positive
0.9376965165138245,positive
0.9962909817695618,positive
0.9932180643081665,positive
0.9748349785804749,negative
0.9954843521118164,positive
0.9952127933502197,negative
0.97354656457901,positive
0.6826589107513428,negative
0.9932818412780762,negative
0.9918304681777954,positive
0.9633452892303467,negative
0.6392765641212463,negative
0.9901330471038818,positive
0.659011960029602,positive
0.9905717968940735,positive
0.9741532802581787,negative
0.9680033326148987,positive
0.9280767440795898,positive
0.9943905472755432,negative
0.8805895447731018,positive
0.9523601531982422,positive
0.9290409088134766,negative
0.8755478262901306,negative
0.9919179677963257,negative
0.9854863286018372,negative
0.9818428754806519,negative
0.9982538819313049,negative
0.9940444827079773,negative
0.9981549382209778,negative
0.9928348064422607,negative
0.9877730011940002,negative
0.933026134967804,positive
0.9754764437675476,positive
0.9320367574691772,negative
0.9890311360359192,positive
0.9815288782119751,negative
0.9978355765342712,positive
0.8737837076187134,negative
0.9877913594245911,negative
0.7185348272323608,negative
0.9792562127113342,positive
0.5329733490943909,negative
0.9929377436637878,positive
0.9755186438560486,negative
0.969379186630249,negative
0.8886342644691467,positive
0.8772059082984924,negative
0.9814457297325134,positive
0.9298760294914246,negative
0.9330477714538574,negative
0.9010178446769714,positive
0.9875553846359253,positive
0.9852789640426636,negative
0.7620126605033875,negative
0.9812625646591187,positive
0.9351951479911804,positive
0.9814620614051819,positive
0.984089732170105,negative
0.9938606023788452,negative
0.59157794713974,negative
0.7190850973129272,negative
0.9054017663002014,positive
0.9922298789024353,positive
0.9636638164520264,negative
0.98738694190979,negative
0.7266566753387451,negative
0.9972865581512451,negative
0.9925904273986816,negative
0.7452701926231384,positive
0.9983315467834473,negative
0.9035870432853699,negative
0.6842468976974487,negative
0.572209894657135,positive
0.8131788372993469,positive
0.9854560494422913,positive
0.6885671019554138,positive
0.5343063473701477,negative
0.9909018874168396,negative
0.9790293574333191,negative
0.9779601097106934,negative
0.9480547904968262,negative
0.9961267113685608,negative
0.8673397302627563,negative
0.9253273010253906,negative
0.9944301843643188,positive
0.9343210458755493,negative
0.8848992586135864,negative
0.9928106665611267,negative
0.9952224493026733,negative
0.983043909072876,negative
0.994434654712677,positive
0.98709636926651,negative
0.9894647598266602,negative
0.9847998023033142,positive
0.9922229647636414,positive
0.971479058265686,negative
0.9789943695068359,positive
0.8209760785102844,negative
0.9841591715812683,negative
0.9925541281700134,positive
0.9090849161148071,negative
0.9910898208618164,positive
0.9897176027297974,positive
0.9971601963043213,negative
0.962971568107605,positive
0.9933013916015625,positive
0.9971694350242615,negative
0.9525299072265625,negative
0.9934771060943604,negative
0.8525465726852417,negative
0.6393863558769226,negative
0.8691887259483337,negative
0.9151256680488586,positive
0.9784752726554871,positive
0.9591114521026611,positive
0.5712462663650513,positive
0.8303439021110535,positive
0.5511624217033386,positive
0.9740017652511597,negative
0.8636964559555054,positive
0.9886265397071838,negative
0.9889008402824402,positive
0.7585024237632751,positive
0.970507800579071,negative
0.97258460521698,negative
0.9875795245170593,negative
0.8985589742660522,negative
0.8208379149436951,negative
0.9631637334823608,positive
0.9728133678436279,positive
0.9904165267944336,positive
0.5339536666870117,positive
0.7776270508766174,positive
0.936659574508667,positive
0.987424910068512,negative
0.9373720288276672,negative
0.9484414458274841,negative
0.9963712692260742,positive
0.9969934225082397,positive
0.8792588114738464,negative
0.7851126790046692,negative
0.8608874082565308,positive
0.9846043586730957,positive
0.7606494426727295,positive
0.983812153339386,positive
0.9248955249786377,negative
0.992177426815033,negative
0.6532436013221741,positive
0.8995205163955688,positive
0.988031804561615,negative
0.9752091765403748,negative
0.9980918169021606,negative
0.6236646175384521,negative
0.9976621866226196,positive
0.9791699051856995,negative
0.6112218499183655,positive
0.9857705235481262,negative
0.9257176518440247,negative
0.6152097582817078,positive
0.9731118679046631,positive
0.8695512413978577,positive
0.9789692163467407,negative
0.9837533235549927,negative
0.9858512282371521,positive
0.9498425126075745,negative
0.9934170842170715,negative
0.5274529457092285,positive
0.9874367117881775,positive
0.8159764409065247,positive
0.9912700653076172,positive
0.993550717830658,negative
0.9736751317977905,positive
0.9912729859352112,negative
0.9576823711395264,negative
0.9931596517562866,positive
0.9731218679046631,positive
0.9857605235481262,negative
