label	text
0	"I had to watch this one for my Canadian cinema course and I was told that it was considered to be the ""best Canadian film."" When I watched this I really did not agree, considering I've seen a lot better ones. I understand that there were Canadian themes and messages, but the fact that the characters and the plot were so disconnected with me (as a spectator) it made me not really care what the film was trying to tell me. The plot was too dry. The characters did not have many positive personality traits, but this is to emphasize the messages, not to tick off spectators. This film shows a little about the history of Quebec. Not a very interesting film; it definitely does not deserve to be put on such a high pedestal."
1	I thought this was a great action flick. A very good role for Geena Davis. She is a very versatile actress. One of my favs next to Angelina Jolie. I actually watched The Long Kiss Goodnight right after seeing the new Tomb Raider movie. It got me thinking, Charlie or Lara? Which one would win in a fight??? Either way, both women are very strong, intelligent characters that are fun to watch. Especially when they're kicking butt. I just hope to see Geena in another film soon. Seems like she's been out of the spotlight a bit too long. It would be especially nice to see her in another film with Samuel L. Jackson. Now they make a great duo. Watch this film if you haven't. You won't be disappointed.
1	Having majored in Western History when I was a student in college seeing the views on World War II are quite discomforting and in a whole completely wrong. World War II was the most graphic and bloody affairs to ever occur in world history. While the Axis Powers conducted many crimes against humanity which is still the view today and the correct many people forget that not every German soldier was out to exterminate the Jewish population, not every Japanese soldier swung a samurai sword around and flew kamikaze missions, and not every Italian soldier was a Fascist. Most of these soldiers for the Axis powers were normal people like you and I caught in a terrible conflict and just happened to be fighting for a country they loved.<br /><br />The Battle of Stalingrad was arguably the most lethal battles in world history with over 1,500,000 casualties sustained over the course of the battle. The film Stalingrad follows a German platoon and its leader Lieutenant von Witzland as they are reassigned to the Eastern Front to battle the Soviets at Stalingrad. Von Witzland acts as sort of the main character with two other men, Rollo and Fritzi. They all are normal men and seem to be completely unaware to what is happening back in Germany and Poland.<br /><br />The film follows the course of the battle. The film is overall very bleak when it comes to its portrayal of combat and a soldiers life during the battle. We are shown numerous gruesome battles and intense violence outside of the battles (including a firing squad sequence). Overall the battles are the earliest examples that I know of that portray the loss of limbs and overall in your face death sequences and violence. Much of the inspiration for Saving Private Ryan's battle sequences seem to have come from this film.<br /><br />The film does not aim to make the German's completely innocent of everything in the film. Several of the higher ranking officers of the army are portrayed in the usual view most people are use to, evil. Most of the soldiers are just normal people who often speak of home. The film makes it clear quite quickly that not all Germans were responsible for what happened during the Holocaust, most of the country and army was entirely oblivious to the fact that genocide was taking place. The film makes it clear that the soldiers in the Germany Army was simply fighting for a cause they really didn't understand and most wished just to return home rather than freezing in negative degree temperatures in Russia.<br /><br />The film really shows how hellish war is, especially World War II. The battle scenes will shock you with its gritty realism and the story is quite easy to follow as you are simply following a platoon during the battle. As with most war films do not expect much happiness after seeing it. It will leave you in a bit of a depressed mood just from seeing the life most of the soldiers on the Eastern Front faced. Not recommended for children. <br /><br />4/5 stars
0	One of the scariest movies I have ever seen was Carrie (the first one!). Now, as with other movies, they have totally ruined the Carrie franchise with The Rage: Carrie 2. From the beginnning, the movie plods along like geriatics in a beat-up van. There are hardly any scares and this movie is chock-full of all the various high-school sterotypes (i.e. the football jock, the bitchy cheer-leader, the followers and of course the black nailpolish wearing misfits). Another sad thing about this show is that you know what's going to happen the moment you see the opening credits. Sure, sure, girl gets humilated thourghly and then turns into crazed psychic murderer...yawn...<br /><br />Been there. Done that.<br /><br />Even the actors look like they were forced into doing this movie. Emily Bergl is as frightening as a cabbage patch doll while Jack London... let's just say i didn't pay to see wood act. Apart from the actors, the flasbacks serve more to irritate than to link up with the first movie.<br /><br />Bottom line, If you can beam objects around like Carrie, then for the love of God beam yourself out of that theatre......
0	This may just be the worst movie ever produced. Worst plot, worst acting, worst special effects...be prepared if you want to watch this. The only way to get enjoyment out of it is to light a match and burn the tape of it, knowing it will never fall into the hands of any sane person again.
1	"Renowned Czech actor Vlastimil Brodský, mostly known in North America for his leading role as Jacob in the original Est German/Czech production of Jacob the Liar (Jakob, der Lügner 1974) gives us a last brilliant performance as a 80 year old prankster who refuses to admit that he is about to die.<br /><br />Jirí Hubac's screenplay is exquisite. Funny, moving and well-developed. It explores well both the subject of advanced old age and the motivations of characters that are precariously strong and fragile, happy and unsettled.<br /><br />Frantisek (Vlastimil Brodský) and his best friend Eda (Stanislav Zindulka) are up to all types of shenanigans and are making sure to make the best out of their dying days. Meanwhile, Frantisek's wife is preparing for their death, saving up for funeral money and chastising Frantisek for his endless childishness and irresponsible attitude. Their son is about to take their apartment over and put them into a retirement home, but Frantisek doesn't want to hear any of that. He wants to enjoy life and make people around him laugh. He wants to help and love and give... but at what cost?<br /><br />Sure to captivate adults of all ages, this fine piece of film by talented director Vladimír Michálek is both touching and funny. It makes you think of how we live our lives and why we live our lives. It brings the simple story of a charming stubborn old man to the forefront and allow us to reflect and feel what life is all about.<br /><br />After an active career lasting more than 40 years, it is somewhat sombre to know that Vlastimil Brodsk died in April 2002, no longer in the grip of terminal cancer. It is however uplifting to think that he had the chance to be a part of such a moving script and to be the catalyst of this ode to joyful old age that has not even started to make the waves it is about to create in North American repertoire cinema.<br /><br />After the international success of Jan Hrebejk's ""Divided We Fall (2000)"", it is starting to be clear that Czech cinema has indeed something to offer to the world. This film at least is a must see."
0	I saw this movie with my girlfriend. It was a total disaster. You can really see it was cheaply made. Badly scripted and with very bad acting. I have read several versions of the book by different authors and also listened to one version on audio book. We couldn't take the movie seriously because of the lacking elements it should have contained. The experience of watching this was like The Blair Witch visits Green Acres. Then there were parts that were vulgar. They show this little boy using a bed pan and they actually show the contents of it. The witch throws the contents of it on the boy and the whole family laughs. I thought it was nasty and very strange. I really can't understand why someone would think that would be entertaining. It shows another scene where Dr. Mize arrives and Betsy Bell is urinating in her dress on the steps of their house in front of her mother and brothers. Instead of the mother leading her off it is the brother. How sick? The little boy in the first scene of the many scenes dealing with how your body disposes of wastes begs for toilet paper and goes to the out house and makes these sickening faces of joy with sound effects. I think they should have left all of that out. The makeup on the Reverend James Johnston as a older man didn't really make you assume he was older. It made you think he was dipped in fish batter. The blood on Joshua Gardner when he falls from the ladder is even worse. The John Bell death scene looks like they got out flour and tried to do something with it to make him look as a serious sick man. To me to much sickening comedy with bathroom problems and inexperienced people involved was the downfall of this picture. These people would do better if they film commercials for local TV Stations for bathroom products. They chose a good subject and were unable to produce it in a correct manner. I rate this film Capital F minus.
1	"The opening scene of this movie is pretty incredible. I've seen a number of sci-fi movies with great special effects but my roommate and I looked at each other after the opening sequence and he said plainly, ""sensory overload."" The plot of the movie is pretty simple but the nice thing about this sci-fi movie is that it lets the audience figure out most of the technology for themselves instead of wasting time to ""subtly"" explain it. The creatures in this movie are also very interesting. You don't get a really good look at them until about two thirds of the way through. Overall, a very entertaining movie."
0	"I think that most people would agree with me if I were to say that the movie Alien pretty much set the bar for atmosphere. I've seen quite a few movies match that bar but none have ever exceeded Alien's eerie tunnels and darkened halls. The Cave is a film that tries very hard to reset the bar. I believe the trailer even mentioned something about being as scary as Alien yet not once throughout the movie did I ever feel even the slightest bit scared, or thrilled for that matter.<br /><br />So now that we got the ball of negativity rolling I might as well explain why the Cave's main hook (the atmosphere in case you weren't paying attention) fizzled into a waste of my time. I'll say right now that most of the sets were gorgeous and nicely lit but what we hear and what we know is there tend to ruin what we see. The music for one is terrible. We either get corny rock music or over exaggerated haunted house music. Okay maybe that's pushing it a bit but I couldn't bear it. The many underwater scenes were bad enough (it's a well-known fact that underwater scenes are always boring as hell) I didn't need rock music blaring in my ears while they were simply swimming through a cave. This actually produced a lot of unintentional laughter that was then amplified by the following watercraft crash scene.<br /><br />Anyway as I already mentioned, it wasn't just the music that killed the atmosphere, heck no. The creatures hiding amongst the darkness are supposed to invoke horror. I'm supposed to be worried that they are going to appear and merely a glimpse of them is supposed to make my blood turn cold. The Cave does wisely take a page from the alien handbook by not showing the entire creature for very long and leading up to the reveal with only glimpses but it just doesn't work because the creatures are so lame. I guess it would be rude to spoil the specifics but they are basically the aliens with wings.<br /><br />I guess you get the point by now. Atmosphere ruined. Yet I know plenty of people who will still see a movie if it's exciting. I'd like to say that about the Cave but I'd be lying. This movie is slow to get to the action and once we get there we sort of wonder when the thing is going to finally call it a day. We've seen all this done better before with the exception of a few neat scenes (the guy impaled on stalactites, the eel and the rapids) so you really don't get any thrills from watching people running from uninspired alien knockoffs in endless tunnels.<br /><br />Ah but no the pain doesn't end there. We must also take the characters and acting into account. Well I can't remember a single line of dialogue other than ""run!"" and the only character's name I can remember is Jack but that's only because it's placed in almost every other line near the end of the movie. Perhaps the actors were capable but the script didn't allow them to do anything other then run and argue. They had almost no background and whenever somebody died they simply shrugged it off. It's pretty sad when you consider that the CGI eel puts on the best performance in the film.<br /><br />Speaking of CGI; there's plenty of it, most of which is terrible. I do commend them on using suits (at least I THINK they were suits) but nothing truly meshes with the environment and as a result most of the effects end up looking pretty hokey.<br /><br />So I guess to wrap it up, the Cave is bad and has very little going for it. Had the film been a SciFi channel premiere movie or low budget direct to video release I might have a bit more love for it but this film was a theatrical release. With more wit and talent this might have been a frighteningly fun movie but as it stands this film is about as scary as going into the basement and that's not very good.<br /><br />My review from Frider Waves: http://friderwaves.com/index.php?page=cave"
0	"Should you wish to see the worst film ever made, look no further. Some wretched movies are watchable because they are unintentionally funny. Alas, American Movie has no wit at all, no unintentional humor, just obscenities thought by its director to be laughable.<br /><br />For those who liked this film, I suggest you watch Kevin Smith's ""Clerks,"" similar in tone. In Clerks you will find creativity, wit, and enjoyment -- all on a shoestring budget. It should make you forget this hideous effort."
1	"The phenomenon Helge Schneider defies easy description or quick categorization. Yet, for the international audience not acquainted to him, one could say he's something like a crude mix of Weird Al Yankovich and Andy Kaufman, adding a foible for Jazz music and 70s outfits. While his stage performances already are eccentric, his movie works are simply hilariously outrageous.<br /><br />""00 Schneider"" is, in my opinion, Helge's best movie. He stars in the two leading roles - police detective ""Kommissar 00 Schneider"" and murderer-villain ""Nihil Baxter"", and also in a precious smaller role as physician ""Dr. Hasenbein"".<br /><br />In the opening scene, we see how modern-art-loving Baxter accidentally kills the circus clown Bratislav Metulskie, from whom he has bought a malfunctioning used Jaguar, when a beloved sculpture slips out of Baxter's hands, fatally hitting Metulskie. Upon reading about the incident in the newspaper, 00 comes back from retirement to investigate the case with the support of his loyal sidekick, Lt. Koerschgen, who is played by an elderly actor bearing the same name. They pick up Baxter's track quickly, and interrogate him at his weirdly decorated mansion (one of the movie's best scenes!), but initially fail to gather any proof. The story winds through many turns, with several scenes that don't always really contribute to the progress of the plot but are hilariously funny, such as a daydream by 00 (including the most unusual view on a running man's brief-clad crotch in movie history), a police-department party during which Koerschgen gets into a row with the chief and has to be hospitalized, and a visit at the already mentioned Dr. Hasenbein's. Baxter, then, is finally caught attempting to escape to Rio de Janeiro on a plane.<br /><br />Always worth special mention is Andreas Kunze who in this case plays 00's wife, as he's usually appearing in drag performing women's roles in Helge's Movies.<br /><br />So all you folks out there looking for new laughs, I strongly recommend this movie. The catch? You have to understand German (as I doubt there's an English version around)..."
0	Why bother to see this movie? It probably rates an award for being the worst career move of a major movie star since Clark Gable's laughable playing of an Irish patriot in Parnell.<br /><br />It's inconceivable that Bergman would choose both this movie and its director over a lucrative Hollywood career where she could choose among the finest scripts and directors being offered at that time. To begin with, there was no script to work with except a few notes. Then we are supposed to believe the polished Bergman as a poor refugee willing to do anything to be released from a refugee camp, including marriage to a poor Italian fisherman she doesn't even love. I read where Anna Magnani was the original choice for this part. If so, that made a lot more sense than to cast the luminous Bergman in such a proletarian part. But since she was in love with her director, common sense flew out the window.<br /><br />So she goes to live in this poor village where the men must toil to extract a meager living from the sea. A place she obviously hates to be and where she doesn't fit in.<br /><br />Her only friend is the village priest who knows she's not suited to the life of a poor fisherman's bride, but tells her that for the sake of love she must repress her true feelings of revulsion, and accept the poverty and despair she encounters each day. On top of all of this, there's this volcano always on the brink of erupting and drowning them all in hot lava. But like a true heroine, Bergman revolts against her misery by declaring war on just about everyone else in this dreary film. She even goes as far as trying to seduce the village priest, in a scene that would generate laughter if it were not so pathetic. Since her poor slob of a husband must lock her in a room to keep her from running away, she's forced to use her body to bribe a married man to take her off the island. To her, no sacrifice is too great; no man unapproachable if he is willing to help her to escape the island and her misery. I won't bother to tell you how this all ends. The no-script movie ending is as plausible as the rest of STROMBOLI. I even remember (from seeing it on late night TV) that it had two different endings! So be warned if you should feel brave enough to sit through this king-size turkey and catch the miscast Bergman. It led to her downfall in Hollywood for the next seven years and she was condemned for sleeping with her director while still married to Peter Lindstrom. None of the movies she made with this director(whom she later married) are noteworthy except as proof of a career gone berserk. I kid you not. It's pretty embarrassing.<br /><br />- - SoundTrack
0	A trash classic! Basically what we have here is a story about a couple of American teenagers (one male, one female both beautiful people of course) who seem to be psychically linked, in that every time both of them fall asleep, they can inhabit each others dreams and express each others innermost desires... think Mills & Boon meets X-files and you'll be somewhere near the mark. Actually, its more like an unhappy hybrid between one of Ed Wood's famously bad B- movies and a particularly silly episode of Melrose Place, so tacky are the special-effects and so amateurish is the acting. The actors who inhabit (I wouldn't say act in) this flick say their lines like they're reading from cue cards and pout when they're supposed to be showing an emotion, and it comes as no great shock (or loss to the industry) that they have since faded into obscurity. The whole thing is just a laughably misguided mixture of styles that don't go together at all, and the end result is a intriguing curiosity that no doubt will be lapped up by purveyors of so-bad-they're-good films in years to come. I'll probably be the only person who ever comments on this film, but if you are reading and have seen it please get back, it gets kinda lonely round here...
0	"Well, I saw this movie during the last San Sebastian Film Festival. The reaction to it was...let's say as funny as the movie unintetionally is. It happened that they showed a copy with terribly wrong spanish subtitles. They seemed to be a translation from chinese to english and then to spanish. It was all confusing, the genders were switched (girls appeared as boys and boys as girls), and my friends and I remember great lines... but because they were so absurd. All in all not a good movie, but if they ever show it on tv, and you have nothing to do, and if you want to laugh (again, not so much with the movie) then go ahead, ""Visible secret"" is your film."
0	I rented this film out of the local video store one day, you know, the kind of movie with box art that just reaches out and tells you to 'rent me'. Well, if you see this dull film in your video store, walk on by. Fight the urge, rent a porno, because this film is BOOOoooorrrring. Despite the interesting opening, the film lapses into repetitive murders and a hardboiled cop stumbling around, dealing with the usual problems (wife, bastard of a boss, etc). Wondering if the fast forward function on your VCR works? Rent this film and put your concerns to the test.
0	Young writers, young auteur, young cast, busload of producers, what could go wrong? Everything. Even lame is too good a description, that suggests that three of four legs were functioning, when actually, none of them were. Barely enough recycled plotline for a 48 and a half minute television hour, gratingly stretched to ninety minutes. The audience was talking back to the screen, so bad was the story. Dirty cops steal drugs from the evidence locker. How many thousands of times has this been done on television? Bad cops frame good cops. Again, how many times? There was not an original shred in this entire concoction. Giovanni Ribisi made a valiant effort to prop up the lack of script, drawing the only laughs of the entire movie. And the thought of he and Claire Danes working from a real script with a grown-up director and photographed by an actual cinematographer intrigues me. Note to screenwriters: Buy one of those story generators. It can't possibly be as bad as ripping off bad television. Note to auteur: There are shots available to you other than closeups. Even the lovely and interesting face of Claire Danes eventually grows tiresome in closeup. Note to cinematographer: Apprentice yourself to a professional for a few years--you have much to learn. Note to color timer at the lab: At least try to persuade the auteur and the cinematographer that they don't know what they're talking about. Note to Claire: I hope this paid for your new condo. It's time to get some professional management and start actually reading the scripts before signing on.
1	"Having seen many of Wong Kar-Wai's other movies (Happy Together, Fallen Angels, Ashes of Time), I knew what to expect coming in to the theatre; the cinematography would be lush, the use of space and perspective would be varied, the acting would be superb, and at least one of the characters would be consumed by an ineffable loneliness. These are, after all, precisely the techniques that make Wong Kar-Wai's art what it is. What I was not expecting was the degree to which I was drawn into a film that some reviewers dismissed as ""unfinished"" and compelled by characters who ""seemed consumed by ennui.""<br /><br />I find it interesting how people can be so utterly unmoved by a film that so vividly displays emotions and settings many of us take for granted or work ardently to forget: the overwhelming sense of grief stemming from being betrayed; the guilt aroused by the thought of becoming no better than the betrayer; the mundane yet profoundly intimate moments of relationships, where the need to express oneself verbally is utterly superfluous. This is what Wong Kar-Wai attempts to portray in the film and what he achieves so well.<br /><br />Too many Americans are consumed by the need to have every moment of a film filled with stock dialogue; witty banter, disaffected sarcasm and overwrought confessions seem to be the pinnacle of the ""best"" American film has to offer. Wong Kar-Wai sees things very differently. Instead of the character needing to keep the audience apprised of her every feeling, perception or belief, Wong's characters make their feelings and understandings known clearly by facial gestures, body positioning, and, yes, silence.<br /><br />If viewers merely contemplate this film from the standpoint of character development and action, then they may be disappointed by what it has to offer. If they are willing to let themselves try and intuit what the characters are feeling, then they may feel quite differently about what Wong has to offer them."
0	"Jacqueline Susann wrote several novels all involving sex and melodrama and a few of them actually were made into films including this effort and they all have the distinction of being some of the worst films ever made. Story here is about Robin Stone (John Phillip Law) and his rise to the top of television by being ruthless and calculating to everyone around him. He's a playboy of the worst sort using and then throwing away every woman he beds including the wife of the IBC network president.<br /><br />*****SPOILER ALERT***** Greg Austin (Robert Ryan) is in charge of the television network IBC and when his younger wife Judith takes one look at Robin she wastes no time getting into bed with him. Greg falls ill and has to take some time off and this is where Robin steps in and starts trying to run the network but during all this a model named Amanda (Jodi Wexler) who is in love with him kills herself. When Greg returns to his job he tries to get rid of Robin by using the morals clause in his contract when rumors start flying about his relationship with Jerry Nelson (David Hemmings) who's a gay fashion photographer.<br /><br />This was directed by Jack Haley Jr. who went on to be a very successful producer in both television and movies but this was only his second film as a director and the material he was forced to deal with seems way over his head! The script comes from Susann's novel and that would probably be why this resembles a cross between ""Alfie"" and ""The Valley of the Dolls"" and I think the reason why her books never could translate well onto film is because the filmmakers made the terrible mistake of taking her stories seriously instead of tongue in cheek. With that, the laughs that come from this are unintentional especially during that totally ridiculous fight towards the end of the film which starts when Cannon refuses to give back the slave bracelet to the gay characters! Hemmings was a very good actor but his role here is completely over the top and it has him wearing one of the worst beards in history and using the term ""chic"" in every other sentence. Law was not the original choice for the lead but another actor that was cast had a serious accident and Law stepped in and delivers one of the more wooden performances this side of Miles O'Keeffe. The film's script suffers in two different areas in that it's both completely silly and horribly dull and it will test a viewers patience if they choose to watch this. One has to wonder what would be the outcome if a director decided to film one of Susann's novels and not take it seriously because the attempt here is ponderous and ridiculous."
0	"The film made no sense to me whatsoever. Good actors(SergioCastellittoaparticular favourite; he was great in ""Uomo DelleStelle""/""TheStarmaker""but that was made by Giuseppe Tornatore, a great Italian director as opposed to the mediocre one who made this effort),but awful, rambling script, terrible editing,and a director who seemed to have no idea of what he was trying to say, and ended up saying exactly nothing. Apretentious load of rubbish, but the sort of film that certain Italianpseudo-intellectuals whom it was my misfortune to have known in the dim and distant past would have loved it, and unfortunately Italy has no monopoly on these, they can be found everywhere and probably acclaim this as a great masterpiece. I never thought much of Bellochio as director. I remember seeing his first film ""PugniNella Tasca""/""Fists in the Pocket"" (or some such title) in Rome when it was first shown close on 50 years ago (I was living thereat the time). All the usual pseudos raved about it, but it left me pretty cold. I didn't think he was much of a director then, and still don't. Age has certainly not improved him, and this film must rank as one of his worst."
